player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
Trey McBride,Trey McBride,UNDER,player_reception_yds,Receiving Yards,76.5,-112,0.5368997113823748,53.7%,0.5971045036378284,0.5368997113823748,0.5,0.5283018867924528,3.68997113823748,7.37994227647496,64.89243837358309,38.121671974305954,Model Projection (Calibrated),True,LOW,<60%,STANDARD,0.00455684703265864,0.5,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,TE,ARI,CIN,17,0.6024096385542169,70.14742744172628,15,70.14742744172628,,,,,,,64.89243837358309,39.1396119720636,6.267744939198366,2.9007036252284206,8.707995612000001,4.0300482366840225,0.48,0.7947374241429263,,,,,,,,,0.5931909047348766,0.48,-0.0230522431749384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.2951807228915662,,,0.9352363041394238,tier_1_elite,0.0,0.62,0.1,True,0.0,70.14742744172628,No significant adjustments,0,False,0.0,turf,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Trey McBride,Trey McBride,HIGH,0.7,0.13943760840633557,False,False,6.352572558273721,0.09043139072307659,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6844925886623863,UNDER,30.675857835546473,True,"V31: UNDER (proj=64.9 vs line=76.5, diff=+15%)",[],0.6844925886623863,64.89243837358309,UNDER,0.6166018782701863,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +6.35 LVT (line vs trailing) |   = P(UNDER): 68% | INPUTS: |   Line: 76.5 | Trailing: 70.1 |   Snaps: 94% | PICK: UNDER (LVT: +6.4) | Edge: +30.7%,88,VERY HIGH
Trey McBride,Trey McBride,UNDER,player_receptions,Receptions,7.5,-113,0.5402132811561904,54.0%,0.6058244240952378,0.5402132811561904,0.5010457625700661,0.5305164319248826,3.916751858612433,7.817153943228321,6.267744939198366,2.8788027002097176,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.005163572215671384,0.5,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,TE,ARI,CIN,17,0.5857142857142857,7.027106531118092,15,7.027106531118092,,,,,,,64.89243837358309,39.1396119720636,6.267744939198366,2.9007036252284206,8.707995612000001,4.0300482366840225,0.48,0.7947374241429263,,,,,,,,,0.5931909047348766,0.48,-0.0230522431749384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.2951807228915662,,,0.9352363041394238,tier_1_elite,0.0,0.62,0.1,True,0.0,7.027106531118092,No significant adjustments,0,False,0.0,turf,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Trey McBride,Trey McBride,HIGH,0.6,0.030264679946429614,True,True,0.4728934688819084,0.06635139615455159,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6931370748995116,UNDER,32.326168844452205,True,"V31: UNDER (proj=6.3 vs line=7.5, diff=+16%)",[],0.6931370748995116,6.267744939198366,UNDER,0.6645133053674463,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.47 LVT (line vs trailing) |   = P(UNDER): 69% | INPUTS: |   Line: 7.5 | Trailing: 7.0 |   Snaps: 94% | PICK: UNDER (LVT: +0.5) | Edge: +32.3%,93,VERY HIGH
Bryce Young,Bryce Young,UNDER,player_pass_completions,Pass Completions,19.5,-125,0.5500241469963916,55.0%,0.6000482939927831,0.5500241469963916,0.5238589211618258,0.5555555555555556,2.616522583456582,4.994708456340881,18.56644708789731,4.583181189913216,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,CAR,SEA,17,0.125,18.53621944172003,14,18.53621944172003,,,,,,,,,,,,,,,201.5433522641604,82.74630932837644,17.9103,4.598940520380754,31.026964590720006,6.081532789154027,0.9216083333333336,1.2042509479155727,0.95,0.6125,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,0.9960371214212478,tier_1_starter,0.0,0.5,0.1,True,0.0,18.53621944172003,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,HIGH,0.65,0.04787450831295851,False,False,0.9637805582799714,0.05171545448334876,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6513830795753395,UNDER,24.354951555292082,True,"V31: UNDER (proj=18.6 vs line=19.5, diff=+8%)",[],0.6513830795753395,18.56644708789731,UNDER,0.5807025251308104,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.96 LVT (line vs trailing) |   = P(UNDER): 65% | INPUTS: |   Line: 19.5 | Trailing: 18.5 |   Snaps: 100% | PICK: UNDER (LVT: +1.0) | Edge: +24.4%,100,VERY HIGH
Rashid Shaheed,Rashid Shaheed,UNDER,player_reception_yds,Receiving Yards,29.5,-109,0.536669555683257,53.7%,0.6222318522775233,0.536669555683257,0.4936802190857384,0.5215311004784688,4.298933659751864,8.707931761400511,25.733184088118918,17.636864843997788,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.007909842844501797,0.8,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,SEA,CAR,17,0.44285714285714284,30.662328472311945,16,30.662328472311945,,,,,,,25.733184088118918,18.255447326695524,2.1301285660685405,1.4315008260459738,3.6517227264000005,2.4540509819932885,0.1886792452830188,0.2734684544066382,,,,,,,,,0.1505250251732012,0.1886792452830188,0.0139798392109363,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,63.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),healthy,out,out,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.016260162601626,,,0.5620166451578921,tier_3_secondary,0.0,0.7,0.0,True,0.0,30.662328472311945,No significant adjustments,0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,Rashid Shaheed,Rashid Shaheed,HIGH,0.7,0.1861422918567156,False,False,-1.1623284723119447,-0.03778415126664141,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6675218294523907,UNDER,27.43598562272913,True,"V31: UNDER (proj=25.7 vs line=29.5, diff=+13%)",[],0.6675218294523907,25.733184088118918,UNDER,0.5817370523462009,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.16 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 29.5 | Trailing: 30.7 |   Snaps: 56% | PICK: UNDER (LVT: -1.2) | Edge: +27.4%,59,MEDIUM
Tetairoa McMillan,Tetairoa McMillan,UNDER,player_receptions,Receptions,4.5,-123,0.5857318171711038,58.6%,0.6714636343422076,0.5857318171711038,0.519675254742772,0.5515695067264574,6.60565624283318,12.711123307387105,4.353111828748154,1.9288458163984092,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.019045488072890356,1.9,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,CAR,SEA,17,0.42857142857142855,3.981823124429305,15,3.981823124429305,,,,,,,59.94592452025143,32.36933226575327,4.353111828748154,1.995883059000539,7.661751672960001,3.512880203384871,0.48,0.680604730286889,,,,,,,,,0.6236510119528752,0.48,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.0915032679738562,,,0.8473422229108727,tier_1_premium,0.0,0.5,0.1,True,0.0,3.981823124429305,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Tetairoa McMillan,Tetairoa McMillan,HIGH,0.6,0.07083205049644468,True,True,0.518176875570695,0.12694741045231922,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.5752003542267672,UNDER,9.810976716019193,True,"V31: UNDER (proj=4.4 vs line=4.5, diff=+3%)",[],0.5752003542267672,4.353111828748154,UNDER,0.5293339058565335,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.52 LVT (line vs trailing) |   = P(UNDER): 58% | INPUTS: |   Line: 4.5 | Trailing: 4.0 |   Snaps: 85% | PICK: UNDER (LVT: +0.5) | Edge: +9.8%,93,VERY HIGH
Jerry Jeudy,Jerry Jeudy,UNDER,player_reception_yds,Receiving Yards,28.5,-110,0.5881431830886171,58.8%,0.7319557449700451,0.5881431830886171,0.495787700084246,0.5238095238095238,9.235548300437113,18.62803030181623,30.441612861037886,17.31909128369933,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.03377517112152399,3.4,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,WR,CLE,PIT,17,0.47560975609756095,27.869736206038958,15,27.869736206038958,,,,,,,30.441612861037886,18.40966055161768,3.389002922714702,1.8316958491353312,5.542938737280001,2.9958598763775464,0.48,0.3390406055655019,,,,,,,,,0.6616238598165124,0.48,0.0398613995429042,0.7687127856468393,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,5.5,2.0,74.5,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (No data),questionable,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1679389312977099,,,0.8214745461950453,tier_2_primary,0.0,0.62,0.05,True,0.0,27.869736206038958,No significant adjustments,0,False,0.0,turf,37.18181818181818,24.636363636363637,37.36363636363637,0.0,,False,Jerry Jeudy,Jerry Jeudy,HIGH,0.7,0.3759997210338715,False,False,0.630263793961042,0.022533776840732645,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.5383513098513432,UNDER,2.77615915343824,True,"V31: UNDER (proj=30.4 vs line=28.5, diff=-7%)",[],0.5383513098513432,30.441612861037886,UNDER,0.45800260137127424,OVER,1.0,True,classifier_direction_mc_projection,True,⚠️ Player +100% vs opponent,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.63 LVT (line vs trailing) |   = P(UNDER): 54% | INPUTS: |   Line: 28.5 | Trailing: 27.9 |   Snaps: 82% | PICK: UNDER (LVT: +0.6) | Edge: +2.8%,80,VERY HIGH
Trevor Lawrence,Trevor Lawrence,UNDER,player_pass_completions,Pass Completions,21.5,-116,0.5380438120872755,53.8%,0.5760876241745511,0.5380438120872755,0.5062344139650873,0.5370370370370371,3.1809398122188193,6.283531353200722,20.78770676344784,4.782286946482555,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.0005436585271287453,0.1,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,QB,JAX,IND,17,0.4166666666666667,20.081853095426585,15,20.081853095426585,,,,,,,,,,,,,,,244.25009876136818,97.258563210629,19.4891,4.777992729518677,34.73866537344001,6.413473442336497,1.084490350877193,1.3026326147033511,0.95,0.6125,0.0473275143773225,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.1794614579929282,0.6666666666666666,0.0,3.0,0.0,3.0,13.333333333333334,3.0,264.3333333333333,3.0,24.0,3.0,0.0,0.0,None (Dome),healthy,active,out,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.948074145242782,tier_1_starter,0.0,0.5,0.1,True,0.0,20.081853095426585,No significant adjustments,0,False,0.0,turf,36.0,28.727272727272727,36.27272727272727,0.0,,False,Trevor Lawrence,Trevor Lawrence,HIGH,0.65,0.033129917979170226,False,False,1.4181469045734154,0.0702684187555989,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6770194377412975,UNDER,29.249165386974973,True,"V31: UNDER (proj=20.8 vs line=21.5, diff=+9%)",[],0.6770194377412975,20.78770676344784,UNDER,0.5592011131719216,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.42 LVT (line vs trailing) |   = P(UNDER): 68% | INPUTS: |   Line: 21.5 | Trailing: 20.1 |   Snaps: 95% | PICK: UNDER (LVT: +1.4) | Edge: +29.2%,100,VERY HIGH
Jakobi Meyers,Jakobi Meyers,UNDER,player_reception_yds,Receiving Yards,59.5,-112,0.545372799687106,54.5%,0.5907455993742119,0.545372799687106,0.5,0.5283018867924528,4.537279968710594,9.074559937421188,58.02921332958659,31.902391075151336,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.009047583834166147,0.9,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,WR,JAX,IND,17,0.5492957746478874,54.745138936944414,14,54.745138936944414,,,,,,,58.02921332958659,32.85426866487335,4.347767307583191,2.017392922651416,7.506884044800001,3.4832440817911876,0.3119266055045871,0.4794608534593831,,,,,,,,,0.3591637135528111,0.3119266055045871,0.0473275143773225,0.2533439842780116,0.3333333333333333,-0.1736337673984863,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,5.0,2.0,44.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (Dome),healthy,active,out,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0529801324503311,,,0.8475074402802287,tier_1_premium,0.0,0.5,0.1,True,0.0,54.745138936944414,No significant adjustments,0,False,0.0,turf,36.0,28.727272727272727,36.27272727272727,0.0,,False,Jakobi Meyers,Jakobi Meyers,HIGH,0.7,0.13322499523669548,False,False,4.754861063055586,0.0866961257682702,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.5924927890640296,UNDER,13.11225973040564,True,"V31: UNDER (proj=58.0 vs line=59.5, diff=+2%)",[],0.5924927890640296,58.02921332958659,UNDER,0.5178534810048141,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.75 LVT (line vs trailing) |   = P(UNDER): 59% | INPUTS: |   Line: 59.5 | Trailing: 54.7 |   Snaps: 85% | PICK: UNDER (LVT: +4.8) | Edge: +13.1%,88,VERY HIGH
Brian Thomas Jr,Ian Thomas,UNDER,player_reception_yds,Receiving Yards,48.5,-113,0.5510836571588931,55.1%,0.6702788571963103,0.5510836571588931,0.5021058838394474,0.5305164319248826,4.897777331944564,9.754471097794722,22.070418024232758,19.571335911777883,Model Projection (Calibrated),True,STANDARD,60-75%,STANDARD,0.010952047437110564,1.1,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,TE,LV,NYG,17,0.6451612903225806,45.16173328670565,12,45.16173328670565,,,,,,,22.070418024232758,19.656290692219635,2.154432853440001,1.7290779912202403,2.534626886400001,2.034209401435577,0.1329715061058344,0.3487772147884026,,,,,,,,,0.0364395004559144,0.1329715061058344,0.0476554772217193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,questionable,questionable,0.0,0.0,False,0.0,False,0.0,1.5,False,AFTERNOON,0.0,,,0.4671631738739593,tier_3_blocking,0.0,0.7,-0.05,True,0.0,45.16173328670565,No significant adjustments,2001,False,0.0,turf,36.09090909090909,22.09090909090909,36.27272727272727,0.0,,False,Ian Thomas,Ian Thomas,HIGH,0.7,0.23293261997624107,False,False,3.3382667132943524,0.07375472547965532,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.9026476742302701,UNDER,72.32364689850611,True,"V31: UNDER (proj=22.1 vs line=48.5, diff=+54%)",[],0.9026476742302701,22.070418024232758,UNDER,0.9106205880323479,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.34 LVT (line vs trailing) |   = P(UNDER): 90% | INPUTS: |   Line: 48.5 | Trailing: 45.2 |   Snaps: 47% | PICK: UNDER (LVT: +3.3) | Edge: +72.3%,52,MEDIUM
Josh Downs,Josh Downs,UNDER,player_reception_yds,Receiving Yards,36.5,-115,0.5270982681890442,52.7%,0.5713112320764321,0.5270982681890442,0.5063197809142617,0.5348837209302325,2.0778487274782487,4.103826881356041,39.53374289556136,24.597258029467785,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.0,0.0,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,WR,IND,JAX,17,0.5142857142857142,39.034274986262005,14,39.034274986262005,,,,,,,39.53374289556136,25.992780928852657,3.8263607267691024,2.010109699356618,6.6493151280000005,3.4930979558106996,0.3119266055045871,0.602554193044539,,,,,,,,,0.340488581396652,0.3119266055045871,-0.039108991864672,0.7165893309662218,1.0,0.3168441990815143,1.0,0.0,1.0,0.0,1.0,6.75,4.0,53.5,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,None (Dome),healthy,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1911764705882352,,,0.6946552364731169,tier_2_primary,0.0,0.62,0.05,True,0.0,39.034274986262005,No significant adjustments,0,False,0.0,turf,34.45454545454545,25.818181818181817,34.63636363636363,0.0,,False,Josh Downs,Josh Downs,HIGH,0.7,0.12110843935779458,False,False,-2.5342749862620053,-0.06475844990488916,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.5408050262076733,UNDER,3.244595912373999,True,"V31: UNDER (proj=39.5 vs line=36.5, diff=-8%)",[],0.5408050262076733,39.53374289556136,UNDER,0.4535430206832428,OVER,1.0,True,classifier_direction_mc_projection,True,⚠️ Player +32% vs opponent,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -2.53 LVT (line vs trailing) |   = P(UNDER): 54% | INPUTS: |   Line: 36.5 | Trailing: 39.0 |   Snaps: 69% | PICK: UNDER (LVT: -2.5) | Edge: +3.2%,69,HIGH
Tyler Warren,Tyler Warren,UNDER,player_receptions,Receptions,4.5,121,0.5850384553489554,58.5%,0.7237854088130405,0.5850384553489554,0.4267425320056899,0.45248868778280543,15.829592334326549,37.094011370105214,3.0577725342,1.5566673667427082,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.06052375750437839,6.1,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,TE,IND,JAX,17,0.358974358974359,3.1897204207672885,15,3.1897204207672885,,,,,,,51.53766465819335,33.623227712929875,3.0577725342,1.5895223989535348,6.795050076,3.5322719976745214,0.3366336633663366,0.536941544511339,,,,,,,,,0.5272304132645863,0.3366336633663366,-0.039108991864672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1544117647058823,,,0.8684432933582003,tier_1_elite,0.0,0.62,0.1,True,0.0,3.1897204207672885,No significant adjustments,0,False,0.0,turf,34.45454545454545,25.818181818181817,34.63636363636363,0.0,,False,Tyler Warren,Tyler Warren,HIGH,0.6,0.20811116837425006,False,False,1.3102795792327115,0.39829511680117313,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7784168863609771,UNDER,48.60686012345925,True,"V31: UNDER (proj=3.1 vs line=4.5, diff=+32%)",[],0.7784168863609771,3.0577725342,UNDER,0.8178848585194813,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.31 LVT (line vs trailing) |   = P(UNDER): 78% | INPUTS: |   Line: 4.5 | Trailing: 3.2 |   Snaps: 87% | PICK: UNDER (LVT: +1.3) | Edge: +48.6%,85,VERY HIGH
Jakobi Meyers,Jakobi Meyers,UNDER,player_receptions,Receptions,4.5,120,0.5447027301131571,54.5%,0.589405460226314,0.5447027301131571,0.4291044776119403,0.45454545454545453,11.559825250121675,26.939418843761814,4.347767307583191,1.9974416509949,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.041322084635196994,4.1,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,WR,JAX,IND,17,0.5151515151515151,4.427956913545351,14,4.427956913545351,,,,,,,58.02921332958659,32.85426866487335,4.347767307583191,2.017392922651416,7.506884044800001,3.4832440817911876,0.3119266055045871,0.4794608534593831,,,,,,,,,0.3591637135528111,0.3119266055045871,0.0473275143773225,0.2533439842780116,0.3333333333333333,-0.1736337673984863,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,5.0,2.0,44.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (Dome),healthy,active,out,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0529801324503311,,,0.8475074402802287,tier_1_premium,0.0,0.5,0.1,True,0.0,4.427956913545351,No significant adjustments,0,False,0.0,turf,36.0,28.727272727272727,36.27272727272727,0.0,,False,Jakobi Meyers,Jakobi Meyers,HIGH,0.6,0.1548790480641805,False,False,0.07204308645464863,0.015910727029917675,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.5760471291851628,UNDER,9.972633753531069,True,"V31: UNDER (proj=4.3 vs line=4.5, diff=+3%)",[],0.5760471291851628,4.347767307583191,UNDER,0.530075682801675,UNDER,1.0,False,classifier_direction_mc_projection,True,⚠️ Player +25% vs opponent,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.07 LVT (line vs trailing) |   = P(UNDER): 58% | INPUTS: |   Line: 4.5 | Trailing: 4.4 |   Snaps: 85% | PICK: UNDER (LVT: +0.1) | Edge: +10.0%,88,VERY HIGH
Michael Pittman Jr.,Michael Pittman,UNDER,player_receptions,Receptions,4.5,-104,0.5477626741563907,54.8%,0.6256912477799754,0.5477626741563907,0.480324745257228,0.5098039215686274,6.743792889916267,14.040069674746338,4.104471124183594,2.283879610414297,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.01935896381975926,1.9,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,WR,IND,JAX,17,0.5641025641025641,4.367037745282173,15,4.367037745282173,,,,,,,40.698525773595556,27.697890251906532,4.104471124183594,2.3275021960369813,5.768126316,3.2709029400661422,0.3033333333333333,0.6530729787363397,,,,,,,,,0.2349434068667795,0.3033333333333333,-0.039108991864672,0.6595463322585472,1.0,0.8828704122181288,1.0,0.0,1.0,0.0,1.0,7.0,4.0,78.75,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,None (Dome),healthy,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1911764705882352,,,0.8995872049136173,tier_2_primary,0.0,0.62,0.05,True,0.0,4.367037745282173,No significant adjustments,0,False,0.0,turf,34.45454545454545,25.818181818181817,34.63636363636363,0.0,,False,Michael Pittman,Michael Pittman,HIGH,0.6,0.05290811363829088,True,True,0.1329622547178273,0.029765196154488367,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6123045635521237,UNDER,16.894507587223618,True,"V31: UNDER (proj=4.1 vs line=4.5, diff=+9%)",[],0.6123045635521237,4.104471124183594,UNDER,0.5674701815739489,UNDER,1.0,False,classifier_direction_mc_projection,True,⚠️ Player +66% vs opponent,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.13 LVT (line vs trailing) |   = P(UNDER): 61% | INPUTS: |   Line: 4.5 | Trailing: 4.4 |   Snaps: 90% | PICK: UNDER (LVT: +0.1) | Edge: +16.9%,88,VERY HIGH
