player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
Amon-Ra St. Brown,Amon-Ra St. Brown,UNDER,player_reception_yds,Receiving Yards,86.5,-115,0.5788180052090219,57.9%,0.7074158031816369,0.5788180052090219,0.5,0.5348837209302325,7.8818005209021935,15.763601041804387,39.64789062287021,35.48023920493795,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.02361467779984928,2.4,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,WR,DET,LAR,15,0.6,71.45711358747126,13,71.45711358747126,,,,,,,39.64789062287021,36.549653266138534,2.836021920450841,2.1242341349940905,4.787868950000001,3.586204529706705,0.48,0.7631450248077943,,,,,,,,,0.6601183040177845,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.3617021276595745,,,0.7164155505621558,tier_2_primary,0.0,0.62,0.05,True,0.0,71.45711358747126,No significant adjustments,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Amon-Ra St. Brown,Amon-Ra St. Brown,MEDIUM,0.55,0.26497164478367957,False,False,15.042886412528745,0.21022209614618337,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8965742370975549,UNDER,71.16417253680594,True,"V24: UNDER (proj=39.6 vs line=86.5, diff=+54%)",[],0.8965742370975549,39.64789062287021,UNDER,0.9000568588998914,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +15.04 LVT (line vs trailing) |   = P(UNDER): 90% | INPUTS: |   Line: 86.5 | Trailing: 71.5 | Proj: 39.6 |   Snaps: 72% | PICK: UNDER (line +46.9 vs proj) | Edge: +71.2%,63,MEDIUM
Jameson Williams,Jameson Williams,UNDER,player_receptions,Receptions,4.5,110,0.5211681655239755,52.1%,0.555705698747304,0.5211681655239755,0.449438202247191,0.47619047619047616,7.172996327678449,15.95991682908455,3.3055857427392974,2.4343688935177954,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.021466624454624685,2.1,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,WR,DET,LAR,15,0.5,5.3612459423453505,13,5.3612459423453505,,,,,,,50.37310842783515,39.65569119385042,3.3055857427392974,2.473441843068282,4.7898511500000005,3.5840601873666498,0.48,0.8003157043733845,,,,,,,,,0.6528871461086997,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.0638297872340425,,,0.9286173057587358,tier_2_primary,0.0,0.62,0.05,True,0.0,5.3612459423453505,No significant adjustments,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Jameson Williams,Jameson Williams,HIGH,0.52,0.2537076014059174,False,False,-0.8612459423453505,-0.1577013654828161,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7345336856534356,UNDER,40.22915817020134,True,"V24: UNDER (proj=3.3 vs line=4.5, diff=+27%)",[],0.7345336856534356,3.3055857427392974,UNDER,0.6854150776141184,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.86 LVT (line vs trailing) |   = P(UNDER): 73% | INPUTS: |   Line: 4.5 | Trailing: 5.4 | Proj: 3.3 |   Snaps: 93% | PICK: UNDER (line +1.2 vs proj) | Edge: +40.2%,70,HIGH
Anthony Firkser,Anthony Firkser,UNDER,player_receptions,Receptions,1.5,-140,0.5811657689423813,58.1%,0.7705525631412707,0.5811657689423813,0.550561797752809,0.5833333333333334,3.0603971189572254,5.558680481371287,0.7164526750000001,1.0417383930936377,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0,0.0,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,TE,DET,LAR,15,0.5,1.0,2,1.0,,,,,,,4.643959406335574,8.970593457706268,0.7164526750000001,1.2791562110321877,0.8428855000000002,1.5048896600378676,0.1329715061058344,0.2588456747433368,,,,,,,,,0.0378656391752567,0.1329715061058344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.0,,,0.3665306122448979,tier_3_blocking,0.0,0.7,-0.05,True,0.0,1.0,No significant adjustments,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Anthony Firkser,Anthony Firkser,HIGH,0.52,0.029590621996542648,True,True,0.5,0.45454545454545453,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.684004364993156,UNDER,30.582651498693416,True,"V24: UNDER (proj=0.7 vs line=1.5, diff=+52%)",[],0.684004364993156,0.7164526750000001,UNDER,0.72991308477793,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=1.04 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.50 LVT (line vs trailing) |   = P(UNDER): 68% | INPUTS: |   Line: 1.5 | Trailing: 1.0 | Proj: 0.7 |   Snaps: 37% | PICK: UNDER (line +0.8 vs proj) | Edge: +30.6%,47,LOW
David Montgomery,David Montgomery,UNDER,player_receptions,Receptions,1.5,-140,0.5544637523188357,55.4%,0.6815458410627858,0.5544637523188357,0.550561797752809,0.5833333333333334,0.3901954566026711,0.7087223599517903,0.8265819050000001,1.2238912856457898,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0,0.0,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,RB,DET,LAR,15,0.6071428571428571,1.5883132783746405,13,1.5883132783746405,28.29566059443301,28.78895825974665,6.032465300000001,3.769254664902451,0.2196752896170141,0.7162896923265987,6.4522551302278055,12.365494058865131,0.8265819050000001,1.3669294485411048,0.9724493000000002,1.6081522924013,0.0620926661840907,,,,,,,,,,0.2302966029024664,0.281767955801105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.0425531914893617,0.3620689655172414,0.625,0.3564914533690653,tier_2_occasional,0.0,0.7,0.0,True,0.0,1.5883132783746405,No significant adjustments,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,David Montgomery,David Montgomery,HIGH,0.52,0.31500810885824615,False,False,-0.08831327837464054,-0.052308584849644006,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6890579018588943,UNDER,31.54741762760709,True,"V24: UNDER (proj=0.8 vs line=1.5, diff=+45%)",[],0.6890579018588943,0.8265819050000001,UNDER,0.6888701219056161,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=0.77 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.09 LVT (line vs trailing) |   = P(UNDER): 69% | INPUTS: |   Line: 1.5 | Trailing: 1.6 | Proj: 0.8 |   Snaps: 36% | PICK: UNDER (line +0.7 vs proj) | Edge: +31.5%,62,MEDIUM
Jahmyr Gibbs,Jahmyr Gibbs,UNDER,player_rush_attempts,Rush Attempts,17.5,100,0.5763705297163622,57.6%,0.754568432387874,0.5763705297163622,0.4693877551020409,0.5,10.698277461432127,22.79198241783366,10.654685400000002,5.01447812878438,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.03818526485818108,3.8,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,RB,DET,LAR,15,,14.600571293389779,13,14.600571293389779,58.662616495470864,53.09237991663116,10.654685400000002,4.9956385137437636,0.4245240260388601,1.0668064720880206,24.561338090395825,28.349165327662043,2.8537485625000003,2.5511893291278,3.3573512500000007,3.0013992107385885,0.1806513442859117,,,,,,,,,,0.9207014812990874,0.6051753703247719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.1489361702127659,0.603448275862069,0.375,0.6882057343393704,tier_2_committee_lead,0.0,0.7,0.05,True,1.882057343393706,14.600571293389779,snap_share: +1.9%,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Jahmyr Gibbs,Jahmyr Gibbs,HIGH,0.52,0.14672518784699165,False,False,2.8994287066102213,0.1972323829288166,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.9048026094857377,UNDER,72.73504362909536,True,"V24: UNDER (proj=10.7 vs line=17.5, diff=+39%)",[],0.9048026094857377,10.654685400000002,UNDER,0.9146968406508791,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +2.90 LVT (line vs trailing) |   = P(UNDER): 90% | INPUTS: |   Line: 17.5 | Trailing: 14.6 | Proj: 10.7 |   Snaps: 69% | PICK: UNDER (line +6.8 vs proj) | Edge: +72.7%,79,HIGH
Jahmyr Gibbs,Jahmyr Gibbs,UNDER,player_rush_yds,Rushing Yards,76.5,-115,0.5630540628079642,56.3%,0.7101802093598808,0.5630540628079642,0.5,0.5348837209302325,6.305406280796422,12.610812561592844,58.662616495470864,50.893034491880314,Model Projection (Calibrated),True,STANDARD,60-75%,STANDARD,0.015141558759280754,1.5,Detroit Lions @ Los Angeles Rams,2025-12-14T21:25:18Z,RB,DET,LAR,15,0.7297297297297297,80.98079632108178,13,80.98079632108178,58.662616495470864,53.09237991663116,10.654685400000002,4.9956385137437636,0.4245240260388601,1.0668064720880206,24.561338090395825,28.349165327662043,2.8537485625000003,2.5511893291278,3.3573512500000007,3.0013992107385885,0.1806513442859117,,,,,,,,,,0.9207014812990874,0.6051753703247719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.1489361702127659,0.603448275862069,0.375,0.6882057343393704,tier_2_committee_lead,0.0,0.7,0.05,True,1.882057343393706,80.98079632108178,snap_share: +1.9%,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Jahmyr Gibbs,Jahmyr Gibbs,HIGH,0.54,0.36849966883333873,False,False,-4.480796321081783,-0.05526334871376607,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7276978696519812,UNDER,38.92413875174188,True,"V24: UNDER (proj=58.7 vs line=76.5, diff=+23%)",[],0.7276978696519812,58.662616495470864,UNDER,0.6315528052261927,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -4.48 LVT (line vs trailing) |   = P(UNDER): 73% | INPUTS: |   Line: 76.5 | Trailing: 81.0 | Proj: 58.7 |   Snaps: 69% | PICK: UNDER (line +17.8 vs proj) | Edge: +38.9%,66,HIGH
Bo Nix,Bo Nix,Over,player_pass_attempts,Pass Attempts,34.5,-110,0.7231784277116171,72.3%,0.8188263253023103,0.7231784277116171,0.48987854251012153,0.5238095238095238,23.32998852014956,47.62402615270199,40.306087285951826,6.366341681716367,Model Projection (Calibrated),True,ELITE,90%+,MEDIUM,0.1,10.0,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,QB,DEN,GB,15,,38.456722076886464,13,38.456722076886464,,,,,,,,,,,,,,,152.0032658074123,100.397748332983,18.0745,4.584032040682089,20.811365575000004,6.27752605826708,0.8066947368421055,1.1208769899800186,0.95,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,AFTERNOON,,,,0.9981313193734124,default,0.0,0.3,0.0,True,4.981313193734116,38.456722076886464,snap_share: +5.0%,5280,True,-0.015,turf,36.81818181818182,25.272727272727273,36.90909090909091,0.1071428571428571,,False,Bo Nix,Bo Nix,HIGH,0.62,0.16829238510005293,False,False,-3.9567220768864644,-0.10262081068500359,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.2768215722883829,,0.0,False,Monte Carlo fallback (27.7%),[],0.1808850338310481,40.306087285951826,OVER,0.1808850338310481,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -3.96 LVT (line vs trailing) |   = P(UNDER): 28% | INPUTS: |   Line: 34.5 | Trailing: 38.5 | Proj: 40.3 |   Snaps: 100% | PICK: OVER (line -5.8 vs proj) | Edge: +0.0%,93,VERY HIGH
Jordan Love,Jordan Love,Under,player_pass_attempts,Pass Attempts,31.5,-125,0.6715469778988975,67.2%,0.7450671112841393,0.6715469778988975,0.5203045685279188,0.5555555555555556,15.124240937097866,29.068053313251504,28.10507701030923,5.39453727108054,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.06524517506812984,6.5,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,QB,GB,DEN,15,,26.83759945816551,13,26.83759945816551,,,,,,,,,,,,,,,123.50206546745257,85.20657323960182,13.863133333333334,4.059302179220244,14.534841900000002,5.272385484136505,0.7884271929824563,1.1104940862316897,0.95,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,,,,,0.9757763622479368,default,0.0,0.3,0.0,True,4.757763622479372,26.83759945816551,snap_share: +4.8%,5280,True,-0.015,turf,31.833333333333332,28.083333333333332,31.916666666666668,-0.1071428571428571,,False,Jordan Love,Jordan Love,HIGH,0.62,0.10777533300605617,False,False,4.66240054183449,0.17308151563673171,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6715469778988975,,0.0,False,Monte Carlo fallback (67.2%),[],0.7354321993629456,28.10507701030923,UNDER,0.7354321993629456,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.66 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 31.5 | Trailing: 26.8 | Proj: 28.1 |   Snaps: 98% | PICK: UNDER (line +3.4 vs proj) | Edge: +0.0%,93,VERY HIGH
Christian Watson,Christian Watson,UNDER,player_receptions,Receptions,3.5,-120,0.5268034327710618,52.7%,0.5893447759035394,0.5268034327710618,0.5101214574898786,0.5454545454545454,1.6681975281183203,3.2701967416287707,2.0940980880390208,1.9136286136211766,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.0,0.0,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,WR,GB,DEN,15,0.5263157894736842,3.977481629750586,7,3.977481629750586,,,,,,,34.65769987377952,31.512214405447804,2.0940980880390208,1.9294779834529123,3.1668798500000004,2.917926806636672,0.2586206896551724,0.8236620558349294,,,,,,,,,0.1885184794787228,0.2586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,,0.0,,,0.7763738839579658,tier_3_secondary,0.0,0.7,0.0,True,0.0,3.977481629750586,No significant adjustments,5280,True,-0.015,turf,31.833333333333332,28.083333333333332,31.916666666666668,-0.1071428571428571,,False,Christian Watson,Christian Watson,HIGH,0.52,0.22519437712206752,False,False,-0.47748162975058595,-0.11710209219993295,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8030981460535047,UNDER,53.3187369738509,True,"V24: UNDER (proj=2.1 vs line=3.5, diff=+40%)",[],0.8030981460535047,2.0940980880390208,UNDER,0.7668901697917065,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.48 LVT (line vs trailing) |   = P(UNDER): 80% | INPUTS: |   Line: 3.5 | Trailing: 4.0 | Proj: 2.1 |   Snaps: 78% | PICK: UNDER (line +1.4 vs proj) | Edge: +53.3%,56,MEDIUM
Marvin Mims Jr.,Marvin Mims Jr.,UNDER,player_receptions,Receptions,2.5,150,0.5838538080296024,58.4%,0.779512693432008,0.5838538080296024,0.37699680511182115,0.4,20.685700291778126,54.8696965366657,1.1793097365189298,1.3634376199778826,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.07660575334566767,7.7,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,WR,DEN,GB,15,0.34782608695652173,1.3848180811493658,11,1.3848180811493658,,,,,,,9.038470427565404,13.00329417154648,1.1793097365189298,1.6300094584840497,1.3906935,1.9221782782388663,0.1617405582922824,0.2425260375483195,,,,,,,,,0.0513397928197775,0.1617405582922824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,AFTERNOON,0.0204081632653061,,,0.3040312517458539,tier_4_limited,0.0,0.7,-0.05,True,0.0,1.3848180811493658,No significant adjustments,5280,True,-0.015,turf,36.81818181818182,25.272727272727273,36.90909090909091,0.1071428571428571,,False,Marvin Mims Jr.,Marvin Mims Jr.,HIGH,0.52,0.2595331091027395,False,False,1.1151819188506342,0.7510562627223638,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8279920564440661,UNDER,58.07121077568536,True,"V24: UNDER (proj=1.2 vs line=2.5, diff=+53%)",[],0.8279920564440661,1.1793097365189298,UNDER,0.7910973580521807,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=0.98 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.12 LVT (line vs trailing) |   = P(UNDER): 83% | INPUTS: |   Line: 2.5 | Trailing: 1.4 | Proj: 1.2 |   Snaps: 30% | PICK: UNDER (line +1.3 vs proj) | Edge: +58.1%,57,MEDIUM
Romeo Doubs,Romeo Doubs,UNDER,player_receptions,Receptions,2.5,124,0.5631308071823812,56.3%,0.7104360239412706,0.5631308071823812,0.4204398447606727,0.44642857142857145,14.269096242170848,33.93849660060943,1.0405323509941629,1.1754440358367229,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.05270423550172055,5.3,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,WR,GB,DEN,15,0.42424242424242425,2.057738464265473,13,2.057738464265473,,,,,,,12.964141024588407,16.04679874522103,1.0405323509941629,1.2452489880679742,1.8793058000000002,2.249044581347575,0.1886792452830188,0.4456461364007197,,,,,,,,,0.1205846615844267,0.1886792452830188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,,0.25,,,0.7962594379824682,tier_4_limited,0.0,0.7,-0.05,True,0.0,2.057738464265473,No significant adjustments,5280,True,-0.015,turf,31.833333333333332,28.083333333333332,31.916666666666668,-0.1071428571428571,,False,Romeo Doubs,Romeo Doubs,HIGH,0.52,0.04403814949369718,True,True,0.4422615357345272,0.2049653111620642,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8819935487261887,UNDER,68.38058657499967,True,"V24: UNDER (proj=1.0 vs line=2.5, diff=+58%)",[],0.8819935487261887,1.0405323509941629,UNDER,0.8794072486777846,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,True,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.44 LVT (line vs trailing) |   = P(UNDER): 88% | INPUTS: |   Line: 2.5 | Trailing: 2.1 | Proj: 1.0 |   Snaps: 80% | PICK: UNDER (line +1.5 vs proj) | Edge: +68.4%,73,HIGH
Luke Musgrave,Luke Musgrave,UNDER,player_receptions,Receptions,1.5,110,0.5566478453143179,55.7%,0.6888261510477263,0.5566478453143179,0.449438202247191,0.47619047619047616,10.720964306712688,23.85414558243573,0.8443639826185814,1.0748161689674753,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.038400107990924456,3.8,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,TE,GB,DEN,15,0.5454545454545454,1.5719942567238836,11,1.5719942567238836,,,,,,,9.912427796077022,14.545708752197772,0.8443639826185814,1.1622926720795097,1.405942925,1.9353231458567557,0.1329715061058344,0.3293834627839648,,,,,,,,,0.0462037455897897,0.1329715061058344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,,0.0,,,0.4539518363677601,tier_3_blocking,0.0,0.7,-0.05,True,0.0,1.5719942567238836,No significant adjustments,5280,True,-0.015,turf,31.833333333333332,28.083333333333332,31.916666666666668,-0.1071428571428571,,False,Luke Musgrave,Luke Musgrave,HIGH,0.52,0.2858081755871494,False,False,-0.0719942567238836,-0.043058913889423046,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7884843604373196,UNDER,50.52883244712465,True,"V24: UNDER (proj=0.8 vs line=1.5, diff=+44%)",[],0.7884843604373196,0.8443639826185814,UNDER,0.7136530735497766,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=0.68 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.07 LVT (line vs trailing) |   = P(UNDER): 79% | INPUTS: |   Line: 1.5 | Trailing: 1.6 | Proj: 0.8 |   Snaps: 45% | PICK: UNDER (line +0.7 vs proj) | Edge: +50.5%,52,MEDIUM
Josh Jacobs,Josh Jacobs,UNDER,player_rush_attempts,Rush Attempts,15.5,100,0.5434670952688179,54.3%,0.6448903175627263,0.5434670952688179,0.4693877551020409,0.5,7.4079340166776975,15.78212029640031,11.900881025,5.256444182664658,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.021733547634408934,2.2,Green Bay Packers @ Denver Broncos,2025-12-14T21:25:24Z,RB,GB,DEN,15,,16.964630348254854,12,16.964630348254854,48.57115875818336,43.525861388441164,11.900881025,5.302395445980577,1.042091027742358,1.0325600525985026,8.391649977554723,14.427063604275473,1.0666375875,1.5569819943831504,1.25486775,1.831743522803707,0.1048266006887516,,,,,,,,,,0.95,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.03458,-0.0494,Low,active,active,active,-0.03458,-0.0494,False,0.0,False,0.0,1.5,False,,0.0454545454545454,0.7222222222222222,1.0,0.5903547951624024,tier_2_committee_lead,0.0,0.7,0.05,True,0.9035479516240175,16.964630348254854,snap_share: +0.9%,5280,True,-0.015,turf,31.833333333333332,28.083333333333332,31.916666666666668,-0.1071428571428571,,False,Josh Jacobs,Josh Jacobs,HIGH,0.52,0.10853864293424782,False,False,-1.464630348254854,-0.08582842513225826,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7723480721170155,UNDER,47.44826831324841,True,"V24: UNDER (proj=11.9 vs line=15.5, diff=+23%)",[],0.7723480721170155,11.900881025,UNDER,0.7513589156440583,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.46 LVT (line vs trailing) |   = P(UNDER): 77% | INPUTS: |   Line: 15.5 | Trailing: 17.0 | Proj: 11.9 |   Snaps: 59% | PICK: UNDER (line +3.6 vs proj) | Edge: +47.4%,79,HIGH
