player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
Chase Brown,Chase Brown,Yes,player_anytime_td,Anytime TD,0.5,-180,0.7190242334141541,71.9%,0.8128917620202202,0.7190242334141541,0.6428571428571429,0.6428571428571429,7.61670905570112,11.848214086646186,1.6760680168489304,0.791321496725809,Model Projection (Calibrated),True,ELITE,90%+,STANDARD,0.053316963389907886,5.3,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,RB,CIN,ARI,17,0.5,1.5114189831676728,15,1.5114189831676728,73.15315248308606,40.785730670299834,16.6463627904,4.926322901854215,0.515351825990143,0.558929930015084,23.485249185012638,17.629059135564294,4.091168249280001,2.3999119261038637,4.8131391168,2.82342579541631,0.1419690656082153,,,,,,,,,,0.95,0.6125,0.0442689622472403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,out,active,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.1243523316062176,0.6415094339622641,0.6153846153846154,0.6468651211740044,default,0.0,0.3,0.0,True,1.4686512117400463,1.5114189831676728,snap_share: +1.5%,0,False,0.0,turf,40.083333333333336,20.166666666666668,40.333333333333336,0.0,,False,Chase Brown,Chase Brown,MEDIUM,0.65,2.3521360336978607,False,False,-1.0114189831676728,-0.6276573589690867,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7190242334141541,,0.0,False,Monte Carlo fallback (71.9%),[],0.06861210989688157,1.6760680168489304,OVER,0.06861210989688157,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.01 LVT (line vs trailing) |   = P(UNDER): 72% | INPUTS: |   Line: 0.5 | Trailing: 1.5 |   Snaps: 65% | PICK: YES (LVT: -1.0) | Edge: +0.0%,64,MEDIUM
Tee Higgins,Tee Higgins,Yes,player_anytime_td,Anytime TD,0.5,100,0.6509858495666181,65.1%,0.7156940708094544,0.6509858495666181,0.5,0.5,15.09858495666181,30.19716991332362,1.2577044051415083,0.5675366487121496,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.07549292478330905,7.5,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,WR,CIN,ARI,17,0.5,1.129491246180011,13,1.129491246180011,,,,,,,61.05240056818868,31.781197542737193,4.966984801376314,2.324406969134348,7.489664421120001,3.504948952552662,0.3333333333333333,0.9430763931587586,,,,,,,,,0.4789474206282356,0.3333333333333333,0.072288084672858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,out,active,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.1658031088082901,,,0.7233837420689873,default,0.0,0.3,0.0,True,2.233837420689877,1.129491246180011,snap_share: +2.2%,0,False,0.0,turf,40.083333333333336,20.166666666666668,40.333333333333336,0.0,,False,Tee Higgins,Tee Higgins,MEDIUM,0.65,1.5154088102830165,False,False,-0.6294912461800111,-0.5119932721244008,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6509858495666181,,0.0,False,Monte Carlo fallback (65.1%),[],0.09092578108313665,1.2577044051415083,OVER,0.09092578108313665,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.63 LVT (line vs trailing) |   = P(UNDER): 65% | INPUTS: |   Line: 0.5 | Trailing: 1.1 |   Snaps: 72% | PICK: YES (LVT: -0.6) | Edge: +0.0%,68,HIGH
Jacoby Brissett,Jacoby Brissett,Over,player_pass_yds,Passing Yards,253.5,-111,0.5759121776308183,57.6%,0.6518243552616364,0.5759121776308183,0.4978941161605526,0.5260663507109005,7.801806147026563,15.669609046978106,335.7360806399798,107.34437763105693,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.026293673700256644,2.6,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,QB,ARI,CIN,17,0.8,247.92419258709063,12,247.92419258709063,,,,,,,,,,,,,,,250.12387894064616,108.5010147441672,24.675966666666667,5.424368079837094,36.89205768,7.012201714788935,1.1110105263157897,1.316351685530884,0.95,0.6125,-0.0230522431749384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9944605802710624,tier_1_starter,0.0,0.5,0.1,True,0.0,247.92419258709063,No significant adjustments,0,False,0.0,turf,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Jacoby Brissett,Jacoby Brissett,MEDIUM,0.5,0.3244026849703344,False,False,5.57580741290937,0.022480901378003657,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.42408782236918174,,0.0,False,Monte Carlo fallback (42.4%),[],0.5124114979594531,250.12387894064616,UNDER,0.5124114979594531,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +5.58 LVT (line vs trailing) |   = P(UNDER): 42% | INPUTS: |   Line: 253.5 | Trailing: 247.9 |   Snaps: 99% | PICK: OVER (LVT: +5.6) | Edge: +0.0%,83,VERY HIGH
Bryce Young,Bryce Young,Over,player_pass_yds,Passing Yards,196.5,-114,0.5721026689744999,57.2%,0.6442053379489998,0.5721026689744999,0.5042122999157539,0.5327102803738317,6.789036905874601,13.464639611149797,256.1719435665938,81.75630979674607,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.02107492790135746,2.1,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,CAR,SEA,17,0.38571428571428573,193.50683394081213,14,193.50683394081213,,,,,,,,,,,,,,,201.5433522641604,82.74630932837644,17.9103,4.598940520380754,31.026964590720006,6.081532789154027,0.9216083333333336,1.2042509479155727,0.95,0.6125,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,0.9960371214212478,tier_1_starter,0.0,0.5,0.1,True,0.0,193.50683394081213,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,MEDIUM,0.5,0.3036740130615462,False,False,2.993166059187871,0.01546002275985215,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4278973310255001,,0.0,False,Monte Carlo fallback (42.8%),[],0.4756996844198489,201.5433522641604,OVER,0.4756996844198489,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +2.99 LVT (line vs trailing) |   = P(UNDER): 43% | INPUTS: |   Line: 196.5 | Trailing: 193.5 |   Snaps: 100% | PICK: OVER (LVT: +3.0) | Edge: +0.0%,83,VERY HIGH
Xavier Legette,Xavier Legette,UNDER,player_receptions,Receptions,2.5,-163,0.603170350812896,60.3%,0.7715009231918315,0.603170350812896,0.584524731046903,0.6197718631178707,1.8645619765993104,3.1898769676687913,1.9959525087835401,1.154302645722897,Model Projection (Calibrated),True,HIGH,75-90%,HIGH,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,CAR,SEA,17,0.45454545454545453,1.6111505082874469,13,1.6111505082874469,,,,,,,22.30286619585045,15.6549012051113,1.9959525087835401,1.2698649804222462,4.04708383296,2.5748358288550275,0.3033333333333333,0.4414672191177455,,,,,,,,,0.2476357788636411,0.3033333333333333,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.1437908496732026,,,0.6754333006284046,tier_2_primary,0.0,0.62,0.05,True,0.0,1.6111505082874469,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Xavier Legette,Xavier Legette,HIGH,0.6,0.23487923815200853,False,False,0.8888494917125531,0.5194455352744693,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6812847690585137,UNDER,30.063455911170788,True,"V31: UNDER (proj=2.0 vs line=2.5, diff=+20%)",[],0.6812847690585137,1.9959525087835401,UNDER,0.654290455101348,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=0.72 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.89 LVT (line vs trailing) |   = P(UNDER): 68% | INPUTS: |   Line: 2.5 | Trailing: 1.6 |   Snaps: 68% | PICK: UNDER (LVT: +0.9) | Edge: +30.1%,76,HIGH
Shedeur Sanders,Shedeur Sanders,Over,player_pass_yds,Passing Yards,177.5,-111,0.5766286129740792,57.7%,0.6532572259481585,0.5766286129740792,0.4978941161605526,0.5260663507109005,7.873449681352657,15.813502159992904,236.24074682890506,90.02880313499251,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.026671593343826794,2.7,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,QB,CLE,PIT,17,0.5,191.81538668098818,6,191.81538668098818,,,,,,,,,,,,,,,221.78812566457145,90.72878850595336,17.201133333333335,4.473955600534672,33.80299316352001,6.335356150998932,0.7202355263157896,1.061157036760661,0.95,0.6125,0.0398613995429042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),questionable,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.962933673469388,tier_1_starter,0.0,0.5,0.1,True,0.0,191.81538668098818,No significant adjustments,0,False,0.0,turf,37.18181818181818,24.636363636363637,37.36363636363637,0.0,,False,Shedeur Sanders,Shedeur Sanders,MEDIUM,0.5,0.3309337849515778,False,False,-14.315386680988183,-0.074592177983019,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4233713870259208,,0.0,False,Monte Carlo fallback (42.3%),[],0.31272621886663576,221.78812566457145,OVER,0.31272621886663576,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -14.32 LVT (line vs trailing) |   = P(UNDER): 42% | INPUTS: |   Line: 177.5 | Trailing: 191.8 |   Snaps: 96% | PICK: OVER (LVT: -14.3) | Edge: +0.0%,79,HIGH
Travis Etienne Jr.,Travis Etienne,Yes,player_anytime_td,Anytime TD,0.5,-215,0.7167358800788416,71.7%,0.8096226858269165,0.7167358800788416,0.6825396825396826,0.6825396825396826,3.4196197539159034,5.010140569690742,1.6587473119742009,1.0248544657946235,Model Projection (Calibrated),True,ELITE,90%+,STANDARD,0.026929505562087737,2.7,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,RB,JAX,IND,17,0.5,1.5442808265756645,15,1.5442808265756645,93.01791440263942,50.26668410627544,20.751208652160003,5.523380469623854,1.048745539515132,0.770916326343023,19.16629735425093,16.227021418386474,2.6441011801323064,1.8218733187246976,3.3885240480000007,2.3348053392568344,0.1492153102022085,,,,,,,,,,0.95,0.6125,-0.0193135065784092,0.751771390143334,1.0,0.8053943419763026,1.0,-0.4727549815005485,1.0,0.0,1.0,4.25,4.0,31.75,4.0,45.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,None (Dome),healthy,active,out,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0927152317880794,0.4047619047619047,0.3125,0.6479894540744621,default,0.0,0.3,0.0,True,1.4798945407446196,1.5442808265756645,snap_share: +1.5%,0,False,0.0,turf,36.0,28.727272727272727,36.27272727272727,0.0,,False,Travis Etienne,Travis Etienne,MEDIUM,0.65,2.3174946239484018,False,False,-1.0442808265756645,-0.6350988284345904,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7167358800788416,,0.0,False,Monte Carlo fallback (71.7%),[],0.12910211869438232,1.6587473119742009,OVER,0.12910211869438232,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.04 LVT (line vs trailing) |   = P(UNDER): 72% | INPUTS: |   Line: 0.5 | Trailing: 1.5 |   Snaps: 65% | PICK: YES (LVT: -1.0) | Edge: +0.0%,54,MEDIUM
Baker Mayfield,Baker Mayfield,Over,player_pass_yds,Passing Yards,225.5,-113,0.5431562526253907,54.3%,0.5863125052507814,0.5431562526253907,0.5021058838394474,0.5305164319248826,4.105036878594326,8.175639861465847,261.40291434796603,83.41788582750925,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.006730704523020547,0.7,Tampa Bay Buccaneers @ Miami Dolphins,2025-12-28T18:00:00Z,QB,TB,MIA,17,0.4470588235294118,177.46369067382722,15,177.46369067382722,,,,,,,,,,,,,,,204.679259425875,83.24098581161255,17.792633333333335,4.5844700601293304,31.519794579840006,6.130668463733969,0.8947013157894738,1.1917446776330352,0.95,0.6125,0.0283894062256858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9764651864440512,tier_1_starter,0.0,0.5,0.1,True,0.0,177.46369067382722,No significant adjustments,0,False,0.0,grass,36.54545454545455,26.272727272727273,36.63636363636363,0.0,,False,Baker Mayfield,Baker Mayfield,MEDIUM,0.5,0.1592146977736853,False,False,48.036309326172784,0.2705300230237516,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4568437473746093,,0.0,False,Monte Carlo fallback (45.7%),[],0.5987550718395941,204.679259425875,UNDER,0.5987550718395941,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +48.04 LVT (line vs trailing) |   = P(UNDER): 46% | INPUTS: |   Line: 225.5 | Trailing: 177.5 |   Snaps: 98% | PICK: OVER (LVT: +48.0) | Edge: +0.0%,86,VERY HIGH
Tyler Shough,Tyler Shough,Under,player_pass_tds,Passing TDs,1.5,-173,0.6677844519026092,66.8%,0.7396920741465844,0.6677844519026092,0.5982635567655066,0.6336996336996337,6.952089513710257,11.620446265014895,0.9893082713989982,0.8731937235266986,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.02326288842353074,2.3,New Orleans Saints @ Tennessee Titans,2025-12-28T18:00:00Z,QB,NO,TEN,17,0.5714285714285714,0.9027682237170808,9,0.9027682237170808,,,,,,,,,,,,,,,330.520591527815,127.11321417450952,24.9812,5.474825406044166,40.82238748224,6.9579744938212205,0.6402236842105264,1.0009417232453313,0.95,0.6125,0.0558438249106804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),out,questionable,out,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9627026205078818,default,0.0,0.3,0.0,True,4.627026205078821,0.9027682237170808,snap_share: +4.6%,0,False,0.0,turf,37.45454545454545,24.90909090909091,37.81818181818182,0.0,,False,Tyler Shough,Tyler Shough,MEDIUM,0.65,0.3404611524006678,False,False,0.5972317762829192,0.5955830691055296,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6677844519026092,,0.0,False,Monte Carlo fallback (66.8%),[],0.7206773958172983,0.9893082713989982,UNDER,0.7206773958172983,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_tds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.60 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 1.5 | Trailing: 0.9 |   Snaps: 96% | PICK: UNDER (LVT: +0.6) | Edge: +0.0%,54,MEDIUM
Cam Ward,Cam Ward,Over,player_pass_yds,Passing Yards,186.5,-112,0.5789300949130143,57.9%,0.6578601898260286,0.5789300949130143,0.5,0.5283018867924528,7.893009491301428,15.786018982602856,250.76578051068384,76.18250377231298,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.026832950303897575,2.7,New Orleans Saints @ Tennessee Titans,2025-12-28T18:00:00Z,QB,TEN,NO,17,0.0,189.7540161039877,15,189.7540161039877,,,,,,,,,,,,,,,189.97404112198333,76.58293140344917,18.090866666666667,4.587672966645387,33.339407472000005,6.263589171198535,0.5770583333333333,0.904981885024348,0.8082333333333334,0.5770583333333333,-0.0487939931130303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,out,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,1.0,tier_1_starter,0.0,0.5,0.1,True,0.0,189.7540161039877,No significant adjustments,0,False,0.0,turf,37.81818181818182,19.818181818181817,38.09090909090909,0.0,,False,Cam Ward,Cam Ward,MEDIUM,0.5,0.34458863544602597,False,False,-3.254016103987709,-0.017139569500628338,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4210699050869857,,0.0,False,Monte Carlo fallback (42.1%),[],0.4819089361845668,189.97404112198333,OVER,0.4819089361845668,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -3.25 LVT (line vs trailing) |   = P(UNDER): 42% | INPUTS: |   Line: 186.5 | Trailing: 189.8 |   Snaps: 100% | PICK: OVER (LVT: -3.3) | Edge: +0.0%,83,VERY HIGH
Jaxson Dart,Jaxson Dart,UNDER,player_pass_attempts,Pass Attempts,26.5,-128,0.6084054955449643,60.8%,0.6548649936356633,0.6084054955449643,0.5289256198347108,0.5614035087719298,7.94798757102535,15.026664001469802,24.66427800811731,5.580519838953784,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.02679113246062963,2.7,New York Giants @ Las Vegas Raiders,2025-12-28T21:05:00Z,QB,NYG,LV,17,0.5555555555555556,23.555245971350576,12,23.555245971350576,,,,,,,,,,,,,,,171.82778642760042,72.76262600215676,14.6706,4.198844560114128,25.303692072960004,5.4952206725481005,0.6982714912280703,1.0474439359168055,0.95,0.6125,0.0350504133033177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9635168732390648,default,0.0,0.3,0.0,True,4.635168732390649,23.555245971350576,snap_share: +4.6%,2001,False,0.0,turf,35.25,29.75,35.333333333333336,0.0,,False,Jaxson Dart,Jaxson Dart,HIGH,0.6,0.06927252799557318,False,False,2.944754028649424,0.12448629924270854,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6016910572914861,UNDER,14.868292755647339,True,"V31: UNDER (proj=24.7 vs line=26.5, diff=+5%)",[],0.6016910572914861,24.66427800811731,UNDER,0.6289039361826557,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +2.94 LVT (line vs trailing) |   = P(UNDER): 60% | INPUTS: |   Line: 26.5 | Trailing: 23.6 |   Snaps: 96% | PICK: UNDER (LVT: +2.9) | Edge: +14.9%,93,VERY HIGH
Jaxson Dart,Jaxson Dart,UNDER,player_pass_completions,Pass Completions,17.5,-120,0.6609584361006435,66.1%,0.821916872201287,0.6609584361006435,0.5145711906744379,0.5454545454545454,14.638724542620562,28.448395106290125,14.073546825540072,4.233014881756921,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.06352713985535396,6.4,New York Giants @ Las Vegas Raiders,2025-12-28T21:05:00Z,QB,NYG,LV,17,0.45454545454545453,14.097279271704306,12,14.097279271704306,,,,,,,,,,,,,,,171.82778642760042,72.76262600215676,14.6706,4.198844560114128,25.303692072960004,5.4952206725481005,0.6982714912280703,1.0474439359168055,0.95,0.6125,0.0350504133033177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9635168732390648,tier_1_starter,0.0,0.5,0.1,True,0.0,14.097279271704306,No significant adjustments,2001,False,0.0,turf,35.25,29.75,35.333333333333336,0.0,,False,Jaxson Dart,Jaxson Dart,HIGH,0.65,0.19579732425485302,False,False,3.4027207282956944,0.239674142008141,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7596561817579122,UNDER,45.02527106287414,True,"V31: UNDER (proj=14.1 vs line=17.5, diff=+16%)",[],0.7596561817579122,14.073546825540072,UNDER,0.7908744917240669,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.40 LVT (line vs trailing) |   = P(UNDER): 76% | INPUTS: |   Line: 17.5 | Trailing: 14.1 |   Snaps: 96% | PICK: UNDER (LVT: +3.4) | Edge: +45.0%,93,VERY HIGH
Jaxson Dart,Jaxson Dart,Under,player_pass_tds,Passing TDs,1.5,-212,0.6651061053734856,66.5%,0.7358658648192651,0.6651061053734856,0.6420704845814978,0.6794871794871795,2.303562079198773,3.587709035870473,0.9997091914743916,0.8847459554678043,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.0,0.0,New York Giants @ Las Vegas Raiders,2025-12-28T21:05:00Z,QB,NYG,LV,17,0.625,0.8452766296364261,12,0.8452766296364261,,,,,,,,,,,,,,,171.82778642760042,72.76262600215676,14.6706,4.198844560114128,25.303692072960004,5.4952206725481005,0.6982714912280703,1.0474439359168055,0.95,0.6125,0.0350504133033177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9635168732390648,default,0.0,0.3,0.0,True,4.635168732390649,0.8452766296364261,snap_share: +4.6%,2001,False,0.0,turf,35.25,29.75,35.333333333333336,0.0,,False,Jaxson Dart,Jaxson Dart,MEDIUM,0.65,0.3335272056837389,False,False,0.6547233703635739,0.6926262110334778,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6651061053734856,,0.0,False,Monte Carlo fallback (66.5%),[],0.7141204451667014,0.9997091914743916,UNDER,0.7141204451667014,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_tds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.65 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 1.5 | Trailing: 0.8 |   Snaps: 96% | PICK: UNDER (LVT: +0.7) | Edge: +0.0%,58,MEDIUM
Geno Smith,Geno Smith,Over,player_pass_yds,Passing Yards,199.5,-113,0.567148213731287,56.7%,0.634296427462574,0.567148213731287,0.5021058838394474,0.5305164319248826,6.504232989183956,12.953907130998168,254.5562287274961,80.88099792673115,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.01950642381191032,2.0,New York Giants @ Las Vegas Raiders,2025-12-28T21:05:00Z,QB,LV,NYG,17,0.4625,182.73966538040688,14,182.73966538040688,,,,,,,,,,,,,,,201.43846220101045,82.53855296447131,17.236166666666666,4.549797648125561,27.932699934720006,5.787901287647843,0.7059868421052633,1.0501944264436625,0.95,0.6125,0.0476554772217193,0.0,0.0,0.0,0.0,0.0,0.0,-0.404863129463472,0.0,1.0,1.0,-2.0,1.0,0.0,1.0,110.0,1.0,13.0,1.0,0.0,0.0,None (Dome),healthy,questionable,questionable,0.0,0.0,False,0.0,False,0.0,1.5,False,AFTERNOON,,,,0.935048339574241,tier_1_starter,0.0,0.5,0.1,True,0.0,182.73966538040688,No significant adjustments,2001,False,0.0,turf,36.09090909090909,22.09090909090909,36.27272727272727,0.0,,False,Geno Smith,Geno Smith,MEDIUM,0.5,0.27597107131576987,False,False,16.760334619593124,0.0916668414631061,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.432851786268713,,0.0,False,Monte Carlo fallback (43.3%),[],0.49063148773945836,201.43846220101045,OVER,0.49063148773945836,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +16.76 LVT (line vs trailing) |   = P(UNDER): 43% | INPUTS: |   Line: 199.5 | Trailing: 182.7 |   Snaps: 94% | PICK: OVER (LVT: +16.8) | Edge: +0.0%,83,VERY HIGH
