player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
Kenneth Walker III,Kenneth Walker III,UNDER,player_rush_attempts,Rush Attempts,12.5,-129,0.5690824279216145,56.9%,0.730274759738715,0.5690824279216145,0.5310164041860369,0.5633187772925764,3.8066023735577548,7.168521242564373,9.054149,4.5815261367844995,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.003299689985124281,0.3,Los Angeles Rams @ Seattle Seahawks,2025-12-19T01:15:00Z,RB,SEA,LA,16,0.25,10.684523993012363,14,10.684523993012363,39.38416046105204,36.74114014656313,9.054149,4.62903858508678,0.4485667002002511,0.551611013305572,9.313238155218496,15.018107421585777,0.9725983097097209,1.3393039676944554,1.41254275,1.9451237892626667,0.0769435038813816,,,,,,,,,,0.56668070757689,0.5255102040816326,0.0241874021715303,0.8527690023827207,0.6666666666666666,-0.3953499410036414,0.6666666666666666,-0.0563147832805876,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,3.0,8.333333333333334,3.0,55.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,None (No data),active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,True,TNF,0.1160714285714285,0.4140625,0.4130434782608695,0.4882565305548295,tier_2_committee_lead,0.0,0.7,0.05,True,-0.1174346944517013,10.684523993012363,No significant adjustments,0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,Kenneth Walker III,Kenneth Walker III,HIGH,0.52,0.15101246021024933,False,False,1.8154760069876374,0.1683408565982089,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7918087284336147,UNDER,51.16348451914463,True,"V27: UNDER (proj=9.1 vs line=12.5, diff=+28%)",[],0.7918087284336147,9.054149,UNDER,0.7716823927881313,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.82 LVT (line vs trailing) |   = P(UNDER): 79% | INPUTS: |   Line: 12.5 | Trailing: 10.7 | Proj: 9.1 |   Snaps: 49% | PICK: UNDER (line +3.4 vs proj) | Edge: +51.2%,75,HIGH
Chris Rodriguez Jr.,Chris Rodriguez Jr.,No,player_anytime_td,Anytime TD,0.5,-190,0.6657661061578477,66.6%,0.7368087230826396,0.6657661061578477,0.3448275862068966,0.3448275862068966,32.093851995095115,93.07217078577582,0.305426954965303,0.350694290232819,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.007680426964439541,0.8,Philadelphia Eagles @ Washington Commanders,2025-12-20T22:00:00Z,RB,WAS,PHI,16,0.5,,0,0.305426954965303,35.93688592290222,34.54167376700429,7.7565738500000005,4.270285273322563,0.1927710843373493,0.762717550750094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.1778482315350502,0.1927710843373494,-0.0194503776023053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),out,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,AFTERNOON,0.0083333333333333,0.1736526946107784,0.1666666666666666,0.3866441336492763,default,0.0,0.3,0.0,True,-1.1335586635072392,0.1927710843373493,snap_share: -1.1%,0,False,0.0,grass,30.272727272727273,27.636363636363637,30.727272727272727,0.0,,False,Chris Rodriguez Jr.,Chris Rodriguez Jr.,MEDIUM,0.65,0.38914609006939405,False,False,0.19457304503469702,0.4799213339215417,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6657661061578477,,0.0,False,Monte Carlo fallback (66.6%),[],0.7104919253077253,0.305426954965303,UNDER,0.7104919253077253,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.19 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 0.5 | Trailing: 0.3 | Proj: 0.3 |   Snaps: 39% | PICK: NO (line +0.2 vs proj) | Edge: +0.0%,37,LOW
Deebo Samuel Sr.,Deebo Samuel Sr.,UNDER,player_reception_yds,Receiving Yards,46.5,-111,0.5557389823045386,55.6%,0.6857966076817953,0.5557389823045386,0.4978941161605526,0.5260663507109005,5.784486614398593,11.617905146188367,22.541936364434353,23.89914113999526,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0156523131656441,1.6,Philadelphia Eagles @ Washington Commanders,2025-12-20T22:00:00Z,WR,WAS,PHI,16,0.47540983606557374,43.59111750880461,13,43.59111750880461,,,,,,,22.541936364434353,24.60270044545198,2.2305109883257677,2.03564046873192,3.2094521000000005,2.9290555444071424,0.3033333333333333,0.5372720715697856,,,,,,,,,0.2452771190932022,0.3033333333333333,-0.0462219886634865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),out,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,AFTERNOON,0.1083333333333333,,,0.6303762100472473,tier_3_secondary,0.0,0.7,0.0,True,0.0,43.59111750880461,No significant adjustments,0,False,0.0,grass,30.272727272727273,27.636363636363637,30.727272727272727,0.0,,False,Deebo Samuel Sr.,Deebo Samuel Sr.,MEDIUM,0.55,0.2513805303979614,False,False,2.908882491195392,0.06657834949195784,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.864534152325892,UNDER,65.04742908039756,True,"V27: UNDER (proj=22.5 vs line=46.5, diff=+52%)",[],0.864534152325892,22.541936364434353,UNDER,0.8349216085901173,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +2.91 LVT (line vs trailing) |   = P(UNDER): 86% | INPUTS: |   Line: 46.5 | Trailing: 43.6 | Proj: 22.5 |   Snaps: 63% | PICK: UNDER (line +24.0 vs proj) | Edge: +65.0%,49,LOW
Jayden Reed,Jayden Reed,No,player_anytime_td,Anytime TD,0.5,-185,0.6587536275501106,65.9%,0.726790896500158,0.6587536275501106,0.3508771929824561,0.3508771929824561,30.787643456765444,87.74478385178152,0.3191164679923926,0.3534653813672905,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.006861959629453797,0.7,Green Bay Packers @ Chicago Bears,2025-12-21T01:20:00Z,WR,GB,CHI,16,0.5,,0,0.3191164679923926,,,,,,,31.446262022336413,32.027505479202794,3.056843485920231,2.617655507154409,3.6579248500000006,3.1323772945728545,0.1886792452830188,0.6134971873520602,,,,,,,,,0.1437883044087645,0.1886792452830188,0.0261965954917384,-0.4473465822567518,1.0,0.2409920922327967,1.0,0.0,1.0,0.0,1.0,2.5,4.0,57.75,4.0,-1.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0851063829787234,,,0.477610294117647,default,0.0,0.3,0.0,True,-0.22389705882353006,0.1886792452830188,No significant adjustments,0,False,0.0,grass,31.833333333333332,28.083333333333332,31.916666666666668,0.0,,False,Jayden Reed,Jayden Reed,MEDIUM,0.65,0.36176706401521475,False,False,0.18088353200760737,0.43158297471358387,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6587536275501106,,0.0,False,Monte Carlo fallback (65.9%),[],0.6955846526369691,0.3191164679923926,UNDER,0.6955846526369691,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.18 LVT (line vs trailing) |   = P(UNDER): 66% | INPUTS: |   Line: 0.5 | Trailing: 0.3 | Proj: 0.3 |   Snaps: 48% | PICK: NO (line +0.2 vs proj) | Edge: +0.0%,37,LOW
Shedeur Sanders,Shedeur Sanders,Over,player_pass_attempts,Pass Attempts,30.5,-112,0.6630784140922562,66.3%,0.7329691629889374,0.6630784140922562,0.4979225527671597,0.5283018867924528,16.515586132509654,33.16898590097149,34.237657661916174,6.022225438709202,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.07143155946889579,7.1,Buffalo Bills @ Cleveland Browns,2025-12-21T18:00:00Z,QB,CLE,BUF,16,0.5,32.786953504510755,5,32.786953504510755,,,,,,,,,,,,,,,128.68125102139192,87.58810260166625,15.264866666666666,4.252557542102034,17.700392775,5.82163610823166,0.6150789473684212,0.9843190539657352,0.95,0.6125,0.0328814352848958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,0.9505968077723802,default,0.0,0.3,0.0,True,4.50596807772381,32.786953504510755,snap_share: +4.5%,0,False,0.0,turf,37.18181818181818,24.636363636363637,37.36363636363637,0.0,,False,Shedeur Sanders,Shedeur Sanders,HIGH,0.62,0.12254615284971061,False,False,-2.2869535045107554,-0.06953984059961887,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.3369215859077438,,0.0,False,Monte Carlo fallback (33.7%),[],0.26741696445696306,34.237657661916174,OVER,0.26741696445696306,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -2.29 LVT (line vs trailing) |   = P(UNDER): 34% | INPUTS: |   Line: 30.5 | Trailing: 32.8 | Proj: 34.2 |   Snaps: 95% | PICK: OVER (line -3.7 vs proj) | Edge: +0.0%,89,VERY HIGH
James Cook,James Cook,UNDER,player_rush_yds,Rushing Yards,85.5,-111,0.5476125713195618,54.8%,0.6587085710652058,0.5476125713195618,0.4978941161605526,0.5260663507109005,4.971845515900913,9.98574868536441,58.24777808039819,52.322808740029906,Model Projection (Calibrated),True,LOW,<60%,STANDARD,0.01136563137106885,1.1,Buffalo Bills @ Cleveland Browns,2025-12-21T18:00:00Z,RB,BUF,CLE,16,0.6075949367088608,102.88167517503985,14,102.88167517503985,58.24777808039819,53.001891347755205,11.058063100000002,5.148502071692525,1.0323085462028034,0.7795734154010128,11.054876597076493,18.16444281736661,1.1736842712500004,1.6452318886803026,1.3808050250000001,1.9355669278591792,0.092309613483417,,,,,,,,,,0.95,0.6125,-0.038318184935234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.0486111111111111,0.4943820224719101,0.4107142857142857,0.6626588501111043,tier_2_committee_lead,0.0,0.7,0.05,True,1.626588501111037,102.88167517503985,snap_share: +1.6%,0,False,0.0,turf,33.18181818181818,28.454545454545453,33.27272727272727,0.0,,False,James Cook,James Cook,HIGH,0.54,0.25025671326701965,False,False,-17.381675175039845,-0.16878415645789305,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7728098707296376,UNDER,47.536429866567175,True,"V27: UNDER (proj=58.2 vs line=85.5, diff=+32%)",[],0.7728098707296376,58.24777808039819,UNDER,0.6964350089839404,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -17.38 LVT (line vs trailing) |   = P(UNDER): 77% | INPUTS: |   Line: 85.5 | Trailing: 102.9 | Proj: 58.2 |   Snaps: 66% | PICK: UNDER (line +27.3 vs proj) | Edge: +47.5%,66,HIGH
Chuba Hubbard,Chuba Hubbard,No,player_anytime_td,Anytime TD,0.5,-190,0.6575614635860982,65.8%,0.7250878051229974,0.6575614635860982,0.3448275862068966,0.3448275862068966,31.273387737920167,90.69282443996848,0.3214625209462693,0.3529503246877269,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.001732061099921176,0.2,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,RB,CAR,TB,16,0.5,,0,0.3214625209462693,29.860660740360284,28.94060144637755,7.54610025,4.2454576902849945,0.1506656286963114,0.3029895487746511,7.944516206880794,13.24818951104458,1.08990028125,1.5725521669274865,1.2822356250000002,1.8500613728558664,0.042105455641038,,,,,,,,,,0.1446233814413079,0.1927710843373494,-0.058893256347227,-0.3799891498101217,0.3333333333333333,-0.6172359750029486,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,4.5,2.0,93.5,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (No data),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1111111111111111,0.4782608695652174,0.5555555555555556,0.4204324356671217,default,0.0,0.3,0.0,True,-0.7956756433287859,0.1927710843373494,snap_share: -0.8%,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Chuba Hubbard,Chuba Hubbard,MEDIUM,0.65,0.35707495810746137,False,False,0.17853747905373069,0.4236141297994365,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6575614635860982,,0.0,False,Monte Carlo fallback (65.8%),[],0.6935165930989928,0.3214625209462693,UNDER,0.6935165930989928,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.18 LVT (line vs trailing) |   = P(UNDER): 66% | INPUTS: |   Line: 0.5 | Trailing: 0.3 | Proj: 0.3 |   Snaps: 42% | PICK: NO (line +0.2 vs proj) | Edge: +0.0%,37,LOW
Sean Tucker,Sean Tucker,No,player_anytime_td,Anytime TD,0.5,-190,0.6680203840021487,66.8%,0.7400291200030695,0.6680203840021487,0.3448275862068966,0.3448275862068966,32.31927977952521,93.7259113606231,0.3010657422026666,0.33856980118523533,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.00931477840155775,0.9,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,RB,TB,CAR,16,0.5,,0,0.3010657422026666,22.19349210150291,23.50356041249323,5.220551675000001,3.490919603612906,0.1605723370429252,0.7981712180562097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0957973484742906,0.1605723370429252,0.0525768990311002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),active,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0140845070422535,0.175438596491228,0.2682926829268293,0.1827552077370483,default,0.0,0.3,0.0,True,-3.1724479226295177,0.1605723370429252,snap_share: -3.2%,0,False,0.0,turf,36.54545454545455,26.272727272727273,36.63636363636363,0.0,,False,Sean Tucker,Sean Tucker,MEDIUM,0.65,0.39786851559466685,False,False,0.19893425779733342,0.4960140866302362,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6680203840021487,,0.0,False,Monte Carlo fallback (66.8%),[],0.7215903166916284,0.3010657422026666,UNDER,0.7215903166916284,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.20 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 0.5 | Trailing: 0.3 | Proj: 0.3 |   Snaps: 18% | PICK: NO (line +0.2 vs proj) | Edge: +0.0%,29,VERY LOW
Bryce Young,Bryce Young,Under,player_pass_attempts,Pass Attempts,30.5,-112,0.6380586950917285,63.8%,0.6972267072738979,0.6380586950917285,0.4979225527671597,0.5283018867924528,14.013614232456884,28.144164498228665,27.89808663888886,5.268160575607131,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.0581711083986161,5.8,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,QB,CAR,TB,16,0.0,25.652904579717738,13,25.652904579717738,,,,,,,,,,,,,,,111.04622247016118,78.95469355758387,12.3788,3.824627723931659,13.895492300000003,5.17944230545679,0.6536557017543861,1.0118178223156358,0.95,0.6125,0.004963420888157,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.1562077227300539,0.6666666666666666,0.0,3.0,0.0,3.0,13.666666666666666,3.0,190.0,3.0,17.333333333333332,3.0,0.0,0.0,None (No data),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9933917473265854,default,0.0,0.3,0.0,True,4.933917473265859,25.652904579717738,snap_share: +4.9%,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,HIGH,0.62,0.0853086347905292,False,False,4.847095420282262,0.1882154847923328,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6380586950917285,,0.0,False,Monte Carlo fallback (63.8%),[],0.6893095098558222,27.89808663888886,UNDER,0.6893095098558222,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.85 LVT (line vs trailing) |   = P(UNDER): 64% | INPUTS: |   Line: 30.5 | Trailing: 25.7 | Proj: 27.9 |   Snaps: 99% | PICK: UNDER (line +2.6 vs proj) | Edge: +0.0%,98,VERY HIGH
Baker Mayfield,Baker Mayfield,Under,player_pass_completions,Pass Completions,20.5,-104,0.6255658179262551,62.6%,0.7511316358525101,0.6255658179262551,0.480324745257228,0.5098039215686274,14.524107266902709,30.238099140873167,17.740342624368502,4.065035442005495,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.0590385671423901,5.9,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,QB,TB,CAR,16,0.45454545454545453,16.979269050287748,14,16.979269050287748,,,,,,,,,,,,,,,129.0641578878466,89.13327567656644,14.2512,4.103140897735132,16.6241708,5.664466923629168,0.7773162280701755,1.1042410359860548,0.95,0.6125,0.0155518423079237,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0017769620621762,0.6666666666666666,0.0,3.0,0.0,3.0,4.333333333333333,3.0,191.33333333333337,3.0,18.333333333333332,3.0,0.0,0.0,None (No data),active,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.960763005857524,tier_1_starter,0.0,0.5,0.1,True,0.0,16.979269050287748,No significant adjustments,0,False,0.0,turf,36.54545454545455,26.272727272727273,36.63636363636363,0.0,,False,Baker Mayfield,Baker Mayfield,HIGH,0.62,0.13461743295763406,False,False,3.5207309497122523,0.20614061054638258,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6255658179262551,,0.0,False,Monte Carlo fallback (62.6%),[],0.7513919682701631,17.740342624368502,UNDER,0.7513919682701631,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.52 LVT (line vs trailing) |   = P(UNDER): 63% | INPUTS: |   Line: 20.5 | Trailing: 17.0 | Proj: 17.7 |   Snaps: 96% | PICK: UNDER (line +2.8 vs proj) | Edge: +0.0%,98,VERY HIGH
Bryce Young,Bryce Young,Under,player_pass_completions,Pass Completions,20.5,-130,0.6317169963394087,63.2%,0.7634339926788174,0.6317169963394087,0.5330897279740154,0.5652173913043478,9.862726836539327,18.50106336511528,17.579662891837916,3.8428660357832873,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.03823727289515999,3.8,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,QB,CAR,TB,16,0.125,16.89155101842994,13,16.89155101842994,,,,,,,,,,,,,,,111.04622247016118,78.95469355758387,12.3788,3.824627723931659,13.895492300000003,5.17944230545679,0.6536557017543861,1.0118178223156358,0.95,0.6125,0.004963420888157,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.1562077227300539,0.6666666666666666,0.0,3.0,0.0,3.0,13.666666666666666,3.0,190.0,3.0,17.333333333333332,3.0,0.0,0.0,None (No data),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9933917473265854,tier_1_starter,0.0,0.5,0.1,True,0.0,16.89155101842994,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,HIGH,0.62,0.14245546869083336,False,False,3.60844898157006,0.2123672510918011,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6317169963394087,,0.0,False,Monte Carlo fallback (63.2%),[],0.77635395760141,17.579662891837916,UNDER,0.77635395760141,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.61 LVT (line vs trailing) |   = P(UNDER): 63% | INPUTS: |   Line: 20.5 | Trailing: 16.9 | Proj: 17.6 |   Snaps: 99% | PICK: UNDER (line +2.9 vs proj) | Edge: +0.0%,98,VERY HIGH
Rico Dowdle,Rico Dowdle,UNDER,player_rush_attempts,Rush Attempts,15.5,-101,0.5206357782739736,52.1%,0.5687859275799118,0.5206357782739736,0.47317042968588763,0.5024875621890548,4.746534858808593,10.031342960208992,10.434368375,4.93748195368602,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.009119478582671724,0.9,Tampa Bay Buccaneers @ Carolina Panthers,2025-12-21T18:00:00Z,RB,CAR,TB,16,0.75,15.625560509566958,14,15.625560509566958,49.02433430428949,44.2106233184204,10.434368375,4.940601040246914,0.3355823220251258,0.6709202229442451,8.566407041016467,14.732350395141292,1.03108300125,1.5321980298822344,1.2130388250000002,1.8025859175085108,0.0494176779748742,,,,,,,,,,0.3828843561572569,0.385,-0.058893256347227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.0277777777777777,0.2869565217391304,0.25,0.5914962381554835,tier_2_committee_lead,0.0,0.7,0.05,True,0.9149623815548402,15.625560509566958,snap_share: +0.9%,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Rico Dowdle,Rico Dowdle,HIGH,0.52,0.05565427853691524,False,False,-0.12556050956695763,-0.00798448548085586,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8506079524458777,UNDER,62.38879092148575,True,"V27: UNDER (proj=10.4 vs line=15.5, diff=+33%)",[],0.8506079524458777,10.434368375,UNDER,0.8473907654831061,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.13 LVT (line vs trailing) |   = P(UNDER): 85% | INPUTS: |   Line: 15.5 | Trailing: 15.6 | Proj: 10.4 |   Snaps: 59% | PICK: UNDER (line +5.1 vs proj) | Edge: +62.4%,84,VERY HIGH
De'Von Achane,De'Von Achane,UNDER,player_rush_attempts,Rush Attempts,17.5,-108,0.5676395432168122,56.8%,0.7254651440560405,0.5676395432168122,0.4896023956080519,0.5192307692307693,7.803714760876029,15.938881898615634,11.605803525000002,5.240185531674146,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.025172562472742348,2.5,Cincinnati Bengals @ Miami Dolphins,2025-12-21T18:00:00Z,RB,MIA,CIN,16,0.5,13.757435063079113,14,13.757435063079113,65.79567021399791,58.438763690672346,11.605803525000002,5.243826202624695,0.8289529000019843,0.7729800313649047,11.964429322324484,16.577424316888994,1.7851580575000001,2.017340368105712,2.10018595,2.3733416095361317,0.1663689477420453,,,,,,,,,,0.95,0.6125,0.0098186359927331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),active,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.1632653061224489,0.5470085470085471,0.5862068965517241,0.6828441997343392,tier_2_committee_lead,0.0,0.7,0.05,True,1.8284419973433996,13.757435063079113,snap_share: +1.8%,0,False,0.0,grass,32.09090909090909,23.454545454545453,32.18181818181818,0.0,,False,De'Von Achane,De'Von Achane,HIGH,0.52,0.12735057894395446,False,False,3.7425649369208873,0.27007631065090426,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8680723575601947,UNDER,65.72290462512808,True,"V27: UNDER (proj=11.6 vs line=17.5, diff=+34%)",[],0.8680723575601947,11.605803525000002,UNDER,0.8694989810565914,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_rush_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.74 LVT (line vs trailing) |   = P(UNDER): 87% | INPUTS: |   Line: 17.5 | Trailing: 13.8 | Proj: 11.6 |   Snaps: 68% | PICK: UNDER (line +5.9 vs proj) | Edge: +65.7%,79,HIGH
